time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,impact
4/6/2020 0:00,2.0,8,5,-1.0,3.0,0.0,2,3.6
4/6/2020 0:00,6.0,3,10,10.0,9.0,-1.0,3,7.6
4/6/2020 0:00,10.0,2,9,-1.0,10.0,-1.0,4,7.75
4/6/2020 0:00,8.0,1,10,-1.0,3.0,1.0,4,4.6
4/6/2020 0:00,9.0,7,5,-1.0,4.0,-1.0,8,6.25
4/6/2020 0:00,6.0,2,9,-1.0,4.0,1.0,15,4.4
4/6/2020 0:00,2.0,4,1,-1.0,4.0,-1.0,17,2.75
4/6/2020 0:00,9.0,7,4,-1.0,8.0,0.0,18,5.6
4/6/2020 0:05,10.0,10,3,-1.0,10.0,0.0,2,6.6
4/6/2020 0:05,6.0,2,0,7.0,9.0,-1.0,5,4.8
4/6/2020 0:05,10.0,3,8,4.0,1.0,-1.0,6,5.2
4/6/2020 0:05,2.0,3,3,-1.0,10.0,0.0,8,3.6
4/6/2020 0:05,4.0,2,7,-1.0,5.0,-1.0,8,4.5
4/6/2020 0:05,6.0,4,9,-1.0,0.0,-1.0,8,4.75
4/6/2020 0:05,2.0,9,1,-1.0,4.0,-1.0,8,4.0
4/6/2020 0:05,4.0,10,0,-1.0,8.0,-1.0,8,5.5
4/6/2020 0:05,10.0,1,4,-1.0,3.0,-1.0,13,4.5
4/6/2020 0:05,10.0,4,1,-1.0,1.0,-1.0,14,4.0
4/6/2020 0:05,7.0,9,10,-1.0,3.0,-1.0,15,7.25
4/6/2020 0:05,4.0,3,8,-1.0,10.0,-1.0,19,6.25
4/6/2020 0:10,1.0,7,1,-1.0,2.0,-1.0,2,2.75
4/6/2020 0:10,5.0,9,10,7.0,0.0,1.0,3,5.333333333333333
4/6/2020 0:10,2.0,2,10,-1.0,10.0,-1.0,4,6.0
4/6/2020 0:10,10.0,8,8,-1.0,5.0,0.0,4,6.2
4/6/2020 0:10,3.0,4,3,9.0,4.0,-1.0,5,4.6
4/6/2020 0:10,1.0,5,4,8.0,9.0,-1.0,6,5.4
4/6/2020 0:10,1.0,9,0,9.0,8.0,1.0,6,4.666666666666667
4/6/2020 0:10,0.0,7,0,3.0,10.0,-1.0,6,4.0
4/6/2020 0:10,0.0,2,10,-1.0,5.0,0.0,12,3.4
4/6/2020 0:10,2.0,6,1,-1.0,3.0,-1.0,18,3.0
4/6/2020 0:10,8.0,10,1,-1.0,3.0,1.0,19,4.6
